Borrower A,Borrower B,Family A,Family B,Similarity,Shared Tokens,Shared Fund Count,Shared Funds,Shared Manager Count,Shared Managers,Industry Match,Combined FV ($M),Suggested Family Key,Override Present
"Associations, Inc.","Associations Finance, Inc.",associations,associations finance,1.0,associations,1,OBDC,1,Blue Owl Credit Advisors,True,1214.841,associations,False
SLR Business Credit,SLR Credit Solutions,slr business,slr credit,1.0,"credit, slr",1,SLRC,1,SLR Capital Partners,True,827.62,credit slr,False
Trinity Air Consultants Holdings Corp.,"Trinity Partners Holdings, LLC",trinity air,trinity partners,1.0,trinity,1,BXSL,1,Blackstone Credit Advisors,True,200.766,trinity,False
"AGI Group Holdings, LP","AGI-CFI Holdings, Inc.",agi group,agi cfi,1.0,agi,1,BXSL,1,Blackstone Credit Advisors,True,195.48,agi,False
"Frontline Road Safety, LLC","Safety Borrower Holdings, LP",frontline road,safety,1.0,safety,1,BXSL,1,Blackstone Credit Advisors,True,171.977,safety,False
"PennantPark Senior Loan Fund, LLC","PennantPark-TSO Senior Loan Fund II, LP",pennantpark senior,pennantpark tso,1.0,"pennantpark, senior",1,PNNT,1,PennantPark Investment Advisers,True,153.564,pennantpark senior,False
"Capstone Logistics Acquisition, Inc.","The RK Logistics Group, Inc.",capstone logistics,rk logistics,1.0,logistics,1,PSEC,1,Prospect Capital Management,True,152.8863,logistics,False
"GMP Hills, LP","Hills Distribution, Inc.",gmp hills,hills distribution,1.0,hills,1,PNNT,1,PennantPark Investment Advisers,True,116.754,hills,False
"Inception Fertility Ventures, LLC","The Fertility Partners, Inc.",inception fertility,fertility partners,1.0,fertility,1,BXSL,1,Blackstone Credit Advisors,True,109.067,fertility,False
"Bayside Opco, LLC","Bayside Parent, LLC *",bayside opco,bayside,1.0,bayside,1,SLRC,1,SLR Capital Partners,True,84.977,bayside,False
"Bayside Opco, LLC","Bayside Parent, LLC",bayside opco,bayside,1.0,bayside,1,SLRC,1,SLR Capital Partners,True,78.242,bayside,False
Cubic Corp,"Cubic Corp, Warrant",cubic,cubic warrant,1.0,cubic,1,FSK,1,FS/KKR Advisor,True,65.076,cubic,False
"Consello Pacific Aggregator, LLC","Pacific Purchaser, LLC",consello pacific,pacific,1.0,pacific,1,PNNT,1,PennantPark Investment Advisers,True,63.182,pacific,False
"Helix TS, LLC","Ncp Helix Holdings, LLC",helix ts,ncp helix,1.0,helix,1,BXSL,1,Blackstone Credit Advisors,True,59.631,helix,False
"Ideal Image Development, LLC","Ideal Topco, L.P.",ideal image,ideal,1.0,ideal,1,OBDC,1,Blue Owl Credit Advisors,True,54.967,ideal,False
"GCX Corporation Buyer, LLC","GCX Corporation Group Holdings, L.P.",gcx,gcx group,1.0,gcx,1,BXSL,1,Blackstone Credit Advisors,True,52.258,gcx,False
"Cf512, Inc.","StellPen Holdings, LLC (CF512, Inc.)",cf512,stellpen cf512,1.0,cf512,1,PFLT,1,PennantPark Investment Advisers,True,51.574,cf512,False
"SunMed Group Holdings, LLC","SunMed Receivables I, LLC",sunmed group,sunmed receivables,1.0,sunmed,1,SLRC,1,SLR Capital Partners,True,48.59,sunmed,False
"Razor Group Holdings II, Inc. (Germany)",Razor US LP,razor group,razor us,1.0,razor,1,TCPC,1,Tennenbaum Capital Partners (BlackRock),True,47.9604,razor,False
O6 Environmental,Triumvirate Environmental,o6 environmental,triumvirate environmental,1.0,environmental,1,GSBD,1,Goldman Sachs Asset Management,True,47.31,environmental,False
"Bayside HoldCo, LLC","Bayside OPCP, LLC",bayside,bayside opcp,1.0,bayside,1,CGBD,1,Carlyle Investment Management,True,42.821,bayside,False
MXP Prime Platform GmbH (SellerX) (Germany),SellerX Germany GmbH (Germany),mxp prime,sellerx germany,1.0,"germany, gmbh, sellerx",1,TCPC,1,Tennenbaum Capital Partners (BlackRock),False,37.021,germany gmbh,False
"Gauge Schlesinger Coinvest, LLC","Schlesinger Global, Inc.",gauge schlesinger,schlesinger global,1.0,schlesinger,1,PNNT,1,PennantPark Investment Advisers,True,36.592,schlesinger,False
"Aphix Buyer, Inc.","Gauge APHIX Blocker, LLC",aphix,gauge aphix,1.0,aphix,1,PNNT,1,PennantPark Investment Advisers,True,34.219,aphix,False
"Crane 1 Acquisition Parent Holdings, LP","Crane 1 Services, Inc.",crane,crane services,1.0,crane,1,PNNT,1,PennantPark Investment Advisers,True,28.126,crane,False
"Hissho Parent, LLC","Hissho Sushi Holdings, LLC",hissho,hissho sushi,1.0,hissho,1,OBDC,1,Blue Owl Credit Advisors,True,26.075,hissho,False
MXP Prime Platform GmbH (SellerX) (Germany),SellerX Germany GMBH & Co. KG (Germany),mxp prime,sellerx germany,1.0,"germany, gmbh, sellerx",1,TCPC,1,Tennenbaum Capital Partners (BlackRock),True,25.3889,germany gmbh,False
"MES Intermediate, Inc.","MES Internediate, Inc.",mes,mes internediate,1.0,mes,1,PFLT,1,PennantPark Investment Advisers,True,25.072,mes,False
"First Medical Holdings, LLC","First Medical MSO, LLC",first medical,first medical mso,1.0,first,1,PNNT,1,PennantPark Investment Advisers,True,24.628,first,False
O6 Environmental,Superior Environmental Solutions,o6 environmental,superior environmental,1.0,environmental,1,GSBD,1,Goldman Sachs Asset Management,True,23.829,environmental,False
Razor Group GmbH (Germany),Razor US LP,razor group,razor us,1.0,razor,1,TCPC,1,Tennenbaum Capital Partners (BlackRock),True,22.7457,razor,False
Infinite Commerce Holdings LLC (Razor),Razor US LP,infinite commerce,razor us,1.0,razor,1,TCPC,1,Tennenbaum Capital Partners (BlackRock),True,22.7118,razor,False
"Go Car Wash Parent, Corp.","Quick Quack Car Wash Holdings, LLC",go car,quick quack,1.0,"car, wash",1,GBDC,1,GC Advisors,True,12.5681,car wash,False
"Iracore International Holdings, Inc.","Iracore Investments Holdings, Inc.",iracore international,iracore investments,1.0,iracore,1,TCPC,1,Tennenbaum Capital Partners (BlackRock),True,10.383,iracore,False
"Pragmatic Holdco, Inc.","Pragmatic Institute, LLC",pragmatic,pragmatic institute,1.0,pragmatic,1,PFLT,1,PennantPark Investment Advisers,True,4.035,pragmatic,False
"ST Coaches, LLC",Star Coaches Inc.,st coaches,star coaches,1.0,coaches,1,SLRC,1,SLR Capital Partners,True,2.153,coaches,False
"Extreme Steel Crane & Rigging, LLC","U.S. Crane & Rigging, LLC",extreme steel,us crane rigging,1.0,"crane, rigging",1,SLRC,1,SLR Capital Partners,True,1.965,crane rigging,False
"A&A Crane and Rigging, LLC","U.S. Crane & Rigging, LLC",aa crane,us crane rigging,1.0,"crane, rigging",1,SLRC,1,SLR Capital Partners,True,1.445,crane rigging,False
"Summit Bidco, Inc. (Canada)","Summit K2 Midco, Inc.",summit canada,summit k2,1.0,summit,1,CGBD,1,Carlyle Investment Management,True,0.662,summit,False
"GTCR/Jupiter Blocker, LLC","Jupiter Ultimate Holdings, LLC",gtcr jupiter,jupiter,1.0,jupiter,1,BXSL,1,Blackstone Credit Advisors,True,0.591,jupiter,False
"MedeAnalytics Group Holdings, LLC","MedeAnalytics Parent, Inc.",medeanalytics group,medeanalytics,1.0,medeanalytics,1,GSBD,1,Goldman Sachs Asset Management,True,0.158,medeanalytics,False
"MedeAnalytics, Inc.","MedeAnalytics Group Holdings, LLC",medeanalytics,medeanalytics group,1.0,medeanalytics,1,GSBD,1,Goldman Sachs Asset Management,True,0.156,medeanalytics,False
"StellPen Holdings, LLC","StellPen Holdings, LLC (CF512, Inc.)",stellpen,stellpen cf512,1.0,stellpen,0,,1,PennantPark Investment Advisers,True,0.55,stellpen,False
"World Associates Holdings, LLC","World Insurance Associates, LLC",world associates,world insurance associates,1.0,"associates, world",0,,0,,False,614.449,associates world,False
"Chase Industries, Inc.","R-V Industries, Inc.",chase industries,rv industries,1.0,industries,0,,0,,True,421.397,industries,False
"eResearchTechnology, Inc.","eResearchTechnology, Inc. and Astorg VII Co-Invest ERT",eresearchtechnology,eresearchtechnology and,1.0,eresearchtechnology,0,,0,,False,384.154,eresearchtechnology,False
PCF Insurance Services,"Peter C. Foy & Associates Insurance Services, LLC (PCF Insurance)",pcf insurance,peter c,1.0,pcf,0,,0,,True,357.0777,pcf,False
"Crewline Buyer, Inc. (New Relic)",New Relic,crewline new,new relic,1.0,"new, relic",0,,0,,False,309.4354,new relic,False
Galway Borrower LLC,Galway Partners Holdings LLC,galway,galway partners,1.0,galway,0,,0,,True,249.586,galway,False
"Kaseya, Inc.",Kaseya Inc. and Knockout Intermediate Holdings I Inc.,kaseya,kaseya and,1.0,kaseya,0,,0,,False,215.0204,kaseya,False
Chronicle Parent LLC (Lexitas),Lexitas Inc,chronicle lexitas,lexitas,1.0,lexitas,0,,0,,True,210.6094,lexitas,False
"WebPT, Inc.","WebPT, Inc. and WPT Intermediate Holdco, Inc.",webpt,webpt and,1.0,webpt,0,,0,,False,197.095,webpt,False
"Thunder Purchaser, Inc. (Vector Solutions)",Vector Solutions,thunder vector,vector solutions,1.0,vector,0,,0,,False,193.4005,vector,False
"Crewline Buyer, Inc.","Crewline Buyer, Inc. (New Relic)",crewline,crewline new,1.0,crewline,0,,0,,True,191.7824,crewline,False
"PT Intermediate Holdings III, LLC","Thermostat Purchaser III, Inc. (Reedy Industries)",pt iii,thermostat iii,1.0,iii,0,,0,,True,189.9002,iii,False
Nelipak Holding Company,"Nelipak Holding Company, Nelipak European Holdings Cooperatief U.A., KNPAK Holdings, LP and PAKNK Netherlands Treasury B.V.",nelipak,nelipak nelipak,1.0,nelipak,0,,0,,False,189.859,nelipak,False
Insightsoftware,Insightsoftware.Com Inc,insightsoftware,insightsoftware com,1.0,insightsoftware,0,,0,,False,169.864,insightsoftware,False
West Monroe,"West Monroe Partners, LLC",west monroe,west monroe partners,1.0,"monroe, west",0,,0,,False,157.047,monroe west,False
NEOGOV,NeoGov Newt Holdco Inc,neogov,neogov newt,1.0,neogov,0,,0,,False,136.493,neogov,False
