Family,Family Key,Surveillance Score,Stress Tier,Stress Score,Borrower Count,Fund Count,Manager Count,Borrowers,Funds,Managers,Primary Industry,Total FV ($M),Total Cost ($M),Unrealized %,Nearest Maturity,Weighted Avg Rate %,Weighted Avg Spread (bps),Non-Accrual,Non-Accrual Funds,PIK,PIK Funds,First Seen,Last Seen,Period Count
Walker Edison Furniture Company LLC,walker edison,32,RED,8,3,5,3,"Walker Edison, Walker Edison Furniture Company LLC, Walker Edison Holdco LLC","BCSF, OBDC, OTF, PFLT, PNNT","Bain Capital Credit, Blue Owl Credit Advisors, PennantPark Investment Advisers",Household products,415.637,635.665,-0.3461,2/2/2026,10.0,,True,"BCSF, OBDC, OTF",False,,2025-09-30,2025-12-31,2
Alpine Acquisition Corp II,alpine ii,28,RED,7,2,4,3,"Alpine Acquisition Corp II, Alpine Acquisition Corp II (48Forty)","CGBD, PFLT, PNNT, TCPC","Carlyle Investment Management, PennantPark Investment Advisers, Tennenbaum Capital Partners (BlackRock)",Transportation: Cargo,82.9157,138.2464,-0.4002,11/30/26,5.61,533.0,True,"CGBD, PFLT",True,TCPC,2025-09-30,2025-12-31,2
"Thrasio, LLC",thrasio,27,RED,6,2,4,4,"Thrasio Holdings, Inc., Thrasio, LLC","BCSF, GSBD, OCSL, TCPC","Bain Capital Credit, Goldman Sachs Asset Management, Oaktree Capital Management, Tennenbaum Capital Partners (BlackRock)",Broadline Retail,128.6756,390.95,-0.6709,06/18/29,10.25,,True,"BCSF, GSBD, OCSL",True,"BCSF, TCPC",2025-09-30,2025-12-31,2
"Pluralsight, LLC",pluralsight,27,RED,6,1,7,6,"Pluralsight, LLC","ARCC, GBDC, GSBD, OBDC, OCSL, OTF, TCPC","Ares Capital Management, Blue Owl Credit Advisors, GC Advisors, Goldman Sachs Asset Management, Oaktree Capital Management, Tennenbaum Capital Partners (BlackRock)",Professional Services,683.89,764.981,-0.106,08/22/29,6.93,150.0,True,"ARCC, GBDC, GSBD, OBDC, OCSL, OTF",True,"ARCC, TCPC",2025-09-30,2025-12-31,2
"STG Distribution, LLC",stg distribution,27,RED,7,1,3,2,"STG Distribution, LLC","PFLT, PNNT, PSEC","PennantPark Investment Advisers, Prospect Capital Management",Air Freight and Logistics,57.742,73.738,-0.2169,10/03/29,5.98,100.0,True,"PFLT, PNNT",True,PSEC,2025-09-30,2025-12-31,2
"FPG Intermediate Holdco, LLC",fpg,26,RED,6,2,3,3,"FPG Intermediate Holdco, LLC, FPG Parent, LLC","CGBD, GBDC, MSDL","Carlyle Investment Management, GC Advisors, Morgan Stanley Investment Management",Diversified Consumer Services,24.564,19.463,0.2621,07/2025,,,True,"CGBD, GBDC, MSDL",True,GBDC,2025-09-30,2025-12-31,2
Astra Acquisition Corp.,astra,26,RED,7,1,2,2,Astra Acquisition Corp.,"OCSL, TSLX","Oaktree Capital Management, Sixth Street Partners",Application Software,22.015,52.724,-0.5824,3/31/2026,5.89,988.0,True,"OCSL, TSLX",False,,2025-09-30,2025-12-31,2
GoHealth,gohealth,25,RED,7,1,2,2,GoHealth,"MFIC, OBDC","Apollo Investment Management, L.P., Blue Owl Credit Advisors",GoHealth,6.429,13.541,-0.5252,08/05/29,4.94,,True,OBDC,True,MFIC,2025-09-30,2025-12-31,2
"Khoros, LLC",khoros,23,RED,6,1,2,2,"Khoros, LLC","GSBD, HTGC","Goldman Sachs Asset Management, Hercules Capital (internal)",Interactive Media & Services,51.543,96.592,-0.4664,05/23/30,7.91,450.0,True,HTGC,True,HTGC,2025-09-30,2025-12-31,2
"HV Watterson Holdings, LLC",hv watterson,23,RED,6,1,2,2,"HV Watterson Holdings, LLC","PNNT, SCM","PennantPark Investment Advisers, Stellus Capital Management",Business Services,16.738,34.018,-0.508,12/17/26,8.0,,True,PNNT,False,,2025-09-30,2025-12-31,2
